epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.957,0.75688,1.21013,1.09746,0.91824,0.88773,0.94966,0.76108,0.70559,0.6732,0.95674,0.000554278,0.000554278,0.000554278
2,215.471,0.66629,0.66281,1.03519,0.92243,0.88851,0.95321,0.76686,0.70447,0.61572,0.99426,0.00108797,0.00108797,0.00108797
3,315.143,0.63178,0.5789,1.01719,0.93524,0.89991,0.9593,0.80778,0.61703,0.51076,0.92258,0.00159965,0.00159965,0.00159965
4,414.669,0.60785,0.532,1.00606,0.92798,0.9253,0.97092,0.83197,0.60065,0.49132,0.9105,0.00156798,0.00156798,0.00156798
5,515.691,0.57967,0.48881,0.99079,0.91724,0.93531,0.96606,0.86164,0.50205,0.40284,0.86554,0.00153497,0.00153497,0.00153497
6,618.439,0.55173,0.45671,0.9771,0.96324,0.95561,0.98264,0.88173,0.50839,0.36819,0.85722,0.00150197,0.00150197,0.00150197
7,720.405,0.53793,0.44209,0.97199,0.97419,0.95642,0.9852,0.8782,0.50083,0.36177,0.85754,0.00146896,0.00146896,0.00146896
8,822.526,0.51915,0.42087,0.96114,0.96753,0.9664,0.98819,0.90478,0.44424,0.32199,0.83527,0.00143595,0.00143595,0.00143595
9,1862.93,0.5048,0.40922,0.95747,0.97505,0.97143,0.98777,0.91563,0.41652,0.30459,0.83126,0.00140295,0.00140295,0.00140295
10,1962.95,0.49685,0.40331,0.95563,0.96724,0.97349,0.98809,0.91323,0.4309,0.30387,0.82415,0.00136994,0.00136994,0.00136994
11,2061.6,0.48633,0.39428,0.95095,0.96944,0.96625,0.98824,0.91398,0.4099,0.30022,0.82092,0.00133693,0.00133693,0.00133693
12,2162.68,0.4798,0.38221,0.94668,0.973,0.96713,0.98663,0.91834,0.3958,0.29324,0.812,0.00130393,0.00130393,0.00130393
13,2265.14,0.47054,0.37203,0.9407,0.97442,0.97261,0.9901,0.91792,0.41888,0.27932,0.81529,0.00127092,0.00127092,0.00127092
14,2366.29,0.46309,0.36882,0.93987,0.97964,0.97147,0.98988,0.92594,0.38046,0.26786,0.80081,0.00123791,0.00123791,0.00123791
15,2468.27,0.45666,0.36152,0.93836,0.97589,0.97389,0.98943,0.93001,0.36991,0.27336,0.8062,0.00120491,0.00120491,0.00120491
16,2919.76,0.45005,0.35407,0.93032,0.98324,0.96725,0.98997,0.92016,0.4002,0.27667,0.81206,0.0011719,0.0011719,0.0011719
17,3022.32,0.44892,0.35037,0.93293,0.98053,0.97443,0.9898,0.92241,0.40713,0.26761,0.81103,0.00113889,0.00113889,0.00113889
18,3131.68,0.44005,0.34223,0.92759,0.97756,0.97389,0.99014,0.93256,0.37974,0.26177,0.80696,0.00110589,0.00110589,0.00110589
19,3240.98,0.4351,0.33667,0.92586,0.98429,0.97004,0.99119,0.93773,0.35959,0.24948,0.79795,0.00107288,0.00107288,0.00107288
20,3348.7,0.42794,0.32885,0.92267,0.98249,0.97524,0.991,0.93872,0.35756,0.24532,0.79492,0.00103987,0.00103987,0.00103987
21,3449.74,0.42808,0.3313,0.92374,0.98378,0.98114,0.99164,0.936,0.37643,0.24093,0.80062,0.00100687,0.00100687,0.00100687
22,3554.47,0.42653,0.32768,0.92379,0.98206,0.97666,0.99064,0.93414,0.35624,0.24891,0.79441,0.000973861,0.000973861,0.000973861
23,3658.74,0.41949,0.31885,0.91594,0.98622,0.98509,0.99224,0.94997,0.34018,0.22659,0.78387,0.000940855,0.000940855,0.000940855
